BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD,GRTUSD,SUSHIUSD,ANKRUSD,AMPUSD,CRVUSD,AXSUSD,AVAXUSD,CTSIUSD,SHIBUSDT,Date
7488.96,149.8,214.11,45.92,0.0385,0.1863,3.8264,0.0562,0.2396,2.0745,0.0282,51.77,27.43,0.277,0.2031,0.5783,3.708,8.963,1.759,0.8308,0.11,0.0773,0.9326,0.0066,0.0062,1.6926,0.0389,1.7157,0.0213,16.13,2.3313,0.0033,1.639,0.0017,200.88,0.0937,1.4738,655.4803,1.0126,0.0104,15.3589,0.4971,3.8652,2.7729,10.042,1890.09,0.2888,10.186,54.5,222.83,0.4921,8.326,0.0993,0.0623,2.311,134.66,131.35,1.0333,7.28e-06,2021-09-19 21:09
7200.48,145.48,207.76,44.66,0.0372,0.1816,3.749,0.0546,0.2297,2.0363,0.0267,50.54,26.69,0.264,0.2005,0.5626,3.559,8.62,1.721,0.8056,0.1101,0.0747,0.9236,0.0065,0.0063,1.59,0.0389,1.7237,0.0215,16.19,2.3548,0.0031,1.671,0.0017,197.0,0.0929,1.47,667.8545,1.0122,0.0104,14.8519,0.4716,3.9143,2.9481,10.112,1889.18,0.2861,10.314,54.43,217.35,0.4868,8.479,0.0951,0.0618,2.394,130.48,127.81,1.0169,7.14e-06,2021-09-20 01:09
7221.63,144.94,207.13,44.11,0.037,0.1807,3.7415,0.0543,0.2255,1.987,0.0256,50.33,27.01,0.259,0.2005,0.5529,3.532,8.493,1.708,0.8094,0.1118,0.0802,0.9282,0.0061,0.0059,1.6725,0.0361,1.7239,0.0212,15.48,2.3806,0.0032,1.662,0.0018,202.17,0.0879,1.4786,637.201,1.0127,0.0102,14.5344,0.4748,4.1364,2.9228,10.106,1912.8,0.2911,10.685,55.02,227.32,0.4929,8.285,0.0944,0.0616,2.287,131.79,130.12,1.0203,7.13e-06,2021-09-20 05:09
7304.69,145.64,208.68,44.3,0.0371,0.1799,3.7549,0.055,0.2294,2.0078,0.0253,50.69,27.54,0.263,0.2009,0.5598,3.609,8.628,1.704,0.8212,0.1091,0.0771,0.9153,0.0059,0.0058,1.68,0.0384,1.7151,0.0214,15.38,2.3677,0.0032,1.665,0.0016,202.13,0.0911,1.5019,628.2985,1.0137,0.0101,14.4279,0.4794,3.8981,2.8555,10.082,1908.97,0.291,10.53,58.81,225.03,0.4944,8.254,0.0932,0.0613,2.26,132.91,130.2,1.0064,7.08e-06,2021-09-20 09:09
7368.83,146.66,212.85,44.71,0.0371,0.1822,3.7834,0.055,0.2339,2.0271,0.0256,50.87,28.16,0.262,0.2009,0.5637,3.587,8.628,1.711,0.8212,0.112,0.0766,0.929,0.0061,0.0057,1.65,0.039,1.7215,0.0213,16.02,2.375,0.0031,1.644,0.0017,201.63,0.0898,1.4855,635.6534,1.011,0.0102,14.4203,0.497,4.093,2.8532,10.092,1901.54,0.2894,10.352,55.29,222.86,0.4926,8.149,0.0937,0.0606,2.223,133.5,123.57,1.0,7.02e-06,2021-09-20 13:09
7339.63,147.09,209.32,44.32,0.0371,0.1843,3.7563,0.0547,0.231,1.9929,0.0253,50.23,28.44,0.26,0.2009,0.5543,3.513,8.549,1.711,0.826,0.1102,0.0771,0.936,0.0058,0.0056,1.6894,0.0379,1.7187,0.0214,15.85,2.36,0.0032,1.655,0.0017,195.31,0.0862,1.5051,636.8173,1.0125,0.0104,14.4131,0.4922,4.0548,2.9588,10.125,1901.54,0.2935,10.315,57.05,226.09,0.4931,8.096,0.0943,0.0606,2.344,133.0,120.21,1.0329,7.03e-06,2021-09-20 17:09
7382.01,147.85,211.14,44.66,0.0376,0.1843,3.7899,0.0551,0.231,2.0277,0.0251,49.59,30.27,0.261,0.201,0.5548,3.532,8.634,1.712,0.8166,0.1166,0.0787,0.904,0.0059,0.0057,1.6834,0.0377,1.7168,0.0217,16.1,2.3493,0.0031,1.662,0.0017,195.0,0.0835,1.5415,641.0527,1.017,0.0104,14.2614,0.4873,4.6196,3.0365,10.129,1901.54,0.2957,9.906,57.37,242.39,0.5156,8.165,0.0934,0.0596,2.352,137.82,119.29,1.0313,7.1e-06,2021-09-20 21:09
7396.36,148.18,211.81,44.89,0.0377,0.1865,3.7905,0.0555,0.2304,2.0182,0.0263,50.06,30.16,0.266,0.201,0.5611,3.48,8.796,1.712,0.8205,0.119,0.0772,0.8604,0.0058,0.0056,1.6581,0.0378,1.7016,0.0215,15.96,2.3389,0.0034,1.645,0.0017,196.5,0.0838,1.5478,649.5229,1.0144,0.0104,12.4269,0.4557,4.7,3.0085,10.132,1901.54,0.293,9.631,57.07,248.44,0.5299,8.123,0.0933,0.0597,2.369,139.28,118.48,1.0454,7.23e-06,2021-09-21 01:09
7379.06,147.42,211.53,44.73,0.0373,0.1872,3.7882,0.0552,0.2337,1.9986,0.0257,50.43,29.79,0.263,0.2041,0.5601,3.502,8.732,1.745,0.8131,0.1181,0.0777,0.85,0.0056,0.0055,1.5947,0.0362,1.7065,0.0204,15.99,2.3525,0.0033,1.625,0.0018,186.38,0.0862,1.58,644.6448,1.0134,0.0092,11.6159,0.4704,4.6502,3.0362,10.135,1901.54,0.2965,9.37,56.66,255.0,0.5636,8.185,0.0963,0.0649,2.279,135.08,117.21,1.0562,7.17e-06,2021-09-21 05:09
7368.02,147.92,212.66,44.33,0.0374,0.1872,3.7947,0.0553,0.2341,2.0056,0.0264,50.58,29.27,0.261,0.2033,0.5585,3.497,8.706,1.745,0.8125,0.117,0.0759,0.8442,0.0059,0.0055,1.507,0.036,1.6914,0.0197,15.66,2.3616,0.0033,1.601,0.0018,191.37,0.0828,1.5406,643.6038,1.0109,0.0099,12.0191,0.4654,4.3367,3.1708,10.162,1913.88,0.2825,9.447,56.89,249.62,0.5467,8.06,0.0962,0.0623,2.231,133.12,115.17,1.0719,6.89e-06,2021-09-21 09:09
7350.78,146.77,211.03,44.37,0.0374,0.1872,3.8512,0.0551,0.2366,1.9878,0.0291,50.71,29.34,0.259,0.2032,0.5598,3.508,8.706,1.745,0.8125,0.1159,0.0759,0.8313,0.0058,0.0057,1.4806,0.0366,1.6947,0.0197,16.32,2.3839,0.0032,1.6,0.0018,184.24,0.0835,1.5485,641.2705,1.0127,0.0105,11.0587,0.4668,4.709,3.1392,10.182,1910.07,0.2826,8.826,56.8,258.39,0.5564,8.168,0.0962,0.0618,2.288,135.12,115.34,1.0778,6.87e-06,2021-09-21 13:09
7377.75,147.09,211.67,45.15,0.0374,0.1899,3.865,0.055,0.2429,2.082,0.0294,51.29,28.86,0.264,0.2024,0.568,3.64,8.73,1.722,0.8171,0.1154,0.0757,0.8314,0.006,0.0057,1.5043,0.0361,1.6838,0.0199,15.92,2.3767,0.0031,1.609,0.0017,186.48,0.0841,1.5675,640.3117,1.0127,0.0097,10.911,0.4449,5.0219,3.038,10.278,1906.0,0.2788,8.46,55.41,263.01,0.5478,8.488,0.096,0.0611,2.396,133.73,126.12,0.0,6.98e-06,2021-09-21 17:09
7444.01,148.31,211.56,45.0,0.0378,0.1916,3.8909,0.0552,0.2414,2.0603,0.0294,52.81,28.94,0.265,0.2033,0.5654,3.646,8.705,1.723,0.8159,0.1175,0.0763,0.8121,0.0062,0.0059,1.5042,0.0375,1.6873,0.0204,16.6,2.3658,0.0031,1.603,0.0017,184.37,0.0841,1.5695,638.0962,1.0122,0.0096,10.1459,0.454,5.1193,3.0013,10.277,1927.31,0.2691,8.739,53.54,268.9,0.5492,8.328,0.0949,0.0613,2.289,132.43,122.3,0.0,7.15e-06,2021-09-21 21:09
7548.12,148.72,213.02,45.38,0.0385,0.1942,3.8932,0.0556,0.2433,2.0904,0.0285,52.33,29.15,0.268,0.207,0.5672,3.652,8.7,1.757,0.8196,0.1166,0.0784,0.8315,0.006,0.0058,1.5025,0.0375,1.6717,0.0205,17.03,2.3664,0.003,1.611,0.0018,186.98,0.0849,1.5695,633.6239,1.0122,0.0093,11.07,0.4645,5.0198,3.02,10.23,1921.23,0.2609,8.731,51.76,265.31,0.5382,8.02,0.0929,0.0609,2.333,132.36,127.53,0.0,6.97e-06,2021-09-22 01:09
7542.59,148.65,213.33,45.42,0.0387,0.195,3.9178,0.0554,0.2378,2.1048,0.0337,53.04,29.5,0.264,0.2098,0.574,3.743,9.063,1.758,0.83,0.1164,0.0783,0.8487,0.0062,0.0058,1.5807,0.0382,1.6556,0.0202,16.94,2.3684,0.0031,1.607,0.0018,175.47,0.0877,1.5203,626.1261,1.0172,0.0083,10.5681,0.4803,4.9572,3.1482,10.386,1910.6,0.273,9.256,52.74,274.98,0.5582,8.045,0.0935,0.0597,2.291,126.64,126.01,0.0,7.11e-06,2021-09-22 05:09
7539.2,148.82,214.24,45.84,0.0383,0.1939,3.9285,0.0556,0.2417,2.0879,0.0319,52.1,29.65,0.263,0.2068,0.5864,3.755,9.077,1.758,0.8359,0.1174,0.0774,0.8311,0.0059,0.0056,1.6418,0.0373,1.6666,0.0203,17.4,2.3549,0.0031,1.54,0.0017,179.76,0.0873,1.4837,619.7769,1.0131,0.0084,10.9915,0.4814,5.1778,3.23,10.16,1923.23,0.2756,9.454,52.12,279.97,0.553,8.173,0.095,0.0602,2.309,126.87,121.25,0.0,7.17e-06,2021-09-22 09:09
