BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD
7298.38333333,145.74666667,209.55333333,44.37333333,0.03706667,0.18093333,3.75993333,0.05476667,0.2296,2.0073,0.0255,50.63,27.57,0.26133333,0.20076667,0.5588,3.576,8.583,1.70766667,0.81726667,0.11096667,0.07796667,0.92416667,0.00603333,0.0058,1.6675,0.03783333,1.72016667,0.0213,15.62666667,2.37443333,0.00316667,1.657,0.0017,201.97666667,0.0896,1.48866667,633.71763333,1.01246667,0.01016667,14.46086667,0.48373333,4.0425,2.87716667,10.09333333,1907.77,0.2905,10.52233333,56.37333333,225.07
7337.71666667,146.46333333,210.28333333,44.44333333,0.0371,0.18213333,3.76486667,0.0549,0.23143333,2.00926667,0.0254,50.59666667,28.04666667,0.26166667,0.2009,0.55926667,3.56966667,8.60166667,1.70866667,0.8228,0.11043333,0.07693333,0.92676667,0.00593333,0.0057,1.67313333,0.03843333,1.71843333,0.02136667,15.75,2.36756667,0.00316667,1.65466667,0.00166667,199.69,0.08903333,1.4975,633.58973333,1.0124,0.01023333,14.42043333,0.48953333,4.0153,2.88916667,10.09966667,1904.01666667,0.2913,10.399,57.05,224.66
7363.49,147.2,211.10333333,44.56333333,0.03726667,0.1836,3.77653333,0.05493333,0.23196667,2.0159,0.02533333,50.23,28.95666667,0.261,0.20093333,0.5576,3.544,8.60366667,1.71133333,0.82126667,0.11293333,0.07746667,0.923,0.00593333,0.00566667,1.67426667,0.0382,1.719,0.02146667,15.99,2.36143333,0.00313333,1.65366667,0.0017,197.31333333,0.0865,1.5107,637.84113333,1.0135,0.01033333,14.36493333,0.49216667,4.2558,2.9495,10.11533333,1901.54,0.29286667,10.191,56.57,230.44666667
7372.66666667,147.70666667,210.75666667,44.62333333,0.03746667,0.18503333,3.7789,0.0551,0.2308,2.01293333,0.02556667,49.96,29.62333333,0.26233333,0.20096667,0.55673333,3.50833333,8.65966667,1.71166667,0.82103333,0.11526667,0.07766667,0.90013333,0.00583333,0.00563333,1.67696667,0.0378,1.71236667,0.02153333,15.97,2.3494,0.00323333,1.654,0.0017,195.60333333,0.0845,1.53146667,642.4643,1.01463333,0.0104,13.70046667,0.4784,4.45813333,3.00126667,10.12866667,1901.54,0.29406667,9.95066667,57.16333333,238.97333333
7385.81,147.81666667,211.49333333,44.76,0.03753333,0.186,3.78953333,0.05526667,0.2317,2.01483333,0.0257,50.02666667,30.07333333,0.26333333,0.20203333,0.55866667,3.50466667,8.72066667,1.723,0.81673333,0.1179,0.07786667,0.87146667,0.00576667,0.0056,1.6454,0.03723333,1.7083,0.0212,16.01666667,2.3469,0.00326667,1.644,0.00173333,192.62666667,0.0845,1.55643333,645.07346667,1.01493333,0.01,12.76806667,0.47113333,4.6566,3.02706667,10.132,1901.54,0.29506667,9.63566667,57.03333333,248.61
7381.14666667,147.84,212.0,44.65,0.03746667,0.18696667,3.79113333,0.05533333,0.23273333,2.00746667,0.02613333,50.35666667,29.74,0.26333333,0.2028,0.5599,3.493,8.74466667,1.734,0.81536667,0.11803333,0.07693333,0.85153333,0.00576667,0.00553333,1.5866,0.03666667,1.69983333,0.02053333,15.87,2.351,0.00333333,1.62366667,0.00176667,191.41666667,0.08426667,1.55613333,645.92383333,1.0129,0.00983333,12.02063333,0.46383333,4.5623,3.07183333,10.143,1905.65333333,0.29066667,9.48266667,56.87333333,251.02
7365.95333333,147.37,211.74,44.47666667,0.03736667,0.1872,3.81136667,0.0552,0.2348,1.99733333,0.02706667,50.57333333,29.46666667,0.261,0.20353333,0.55946667,3.50233333,8.71466667,1.745,0.8127,0.117,0.0765,0.84183333,0.00576667,0.00556667,1.52743333,0.03626667,1.69753333,0.01993333,15.99,2.366,0.00326667,1.60866667,0.0018,187.33,0.08416667,1.55636667,643.17303333,1.01233333,0.00986667,11.56456667,0.46753333,4.5653,3.1154,10.15966667,1908.49666667,0.2872,9.21433333,56.78333333,254.33666667
7365.51666667,147.26,211.78666667,44.61666667,0.0374,0.1881,3.83696667,0.05513333,0.23786667,2.02513333,0.0283,50.86,29.15666667,0.26133333,0.20296667,0.5621,3.54833333,8.714,1.73733333,0.81403333,0.1161,0.07583333,0.83563333,0.0059,0.00563333,1.4973,0.03623333,1.68996667,0.01976667,15.96666667,2.37406667,0.0032,1.60333333,0.00176667,187.36333333,0.08346667,1.5522,641.72866667,1.0121,0.01003333,11.3296,0.45903333,4.6892,3.116,10.20733333,1909.98333333,0.2813,8.911,56.36666667,257.00666667
7390.84666667,147.39,211.42,44.84,0.03753333,0.18956667,3.86903333,0.0551,0.2403,2.04336667,0.0293,51.60333333,29.04666667,0.26266667,0.20296667,0.5644,3.598,8.71366667,1.73,0.81516667,0.11626667,0.07596667,0.82493333,0.006,0.00576667,1.49636667,0.03673333,1.6886,0.02,16.28,2.37546667,0.00313333,1.604,0.00173333,185.03,0.0839,1.56183333,639.8928,1.01253333,0.00993333,10.7052,0.45523333,4.95006667,3.0595,10.24566667,1914.46,0.27683333,8.675,55.25,263.43333333
7456.62666667,148.04,212.08333333,45.17666667,0.0379,0.1919,3.88303333,0.05526667,0.24253333,2.07756667,0.0291,52.14333333,28.98333333,0.26566667,0.20423333,0.56686667,3.646,8.71166667,1.734,0.81753333,0.1165,0.0768,0.825,0.00606667,0.0058,1.50366667,0.03703333,1.68093333,0.02026667,16.51666667,2.36963333,0.00306667,1.60766667,0.00173333,185.94333333,0.08436667,1.56883333,637.34393333,1.01236667,0.00953333,10.70896667,0.45446667,5.05366667,3.01976667,10.26166667,1918.18,0.2696,8.64333333,53.57,265.74
7511.57333333,148.56,212.63666667,45.26666667,0.03833333,0.1936,3.90063333,0.0554,0.24083333,2.08516667,0.03053333,52.72666667,29.19666667,0.26566667,0.2067,0.56886667,3.68033333,8.82266667,1.746,0.82183333,0.11683333,0.07766667,0.83076667,0.00613333,0.00583333,1.52913333,0.03773333,1.67153333,0.02036667,16.85666667,2.36686667,0.00306667,1.607,0.00176667,182.27333333,0.08556667,1.5531,632.6154,1.01386667,0.00906667,10.59466667,0.46626667,5.0321,3.0565,10.29766667,1919.71333333,0.26766667,8.90866667,52.68,269.73
7543.30333333,148.73,213.53,45.54666667,0.0385,0.19436667,3.91316667,0.05553333,0.24093333,2.09436667,0.03136667,52.49,29.43333333,0.265,0.20786667,0.57586667,3.71666667,8.94666667,1.75766667,0.8285,0.1168,0.07803333,0.8371,0.00603333,0.00573333,1.575,0.03766667,1.66463333,0.02033333,17.12333333,2.36323333,0.00306667,1.586,0.00176667,180.73666667,0.08663333,1.5245,626.50896667,1.01416667,0.00866667,10.87653333,0.4754,5.0516,3.13273333,10.25866667,1918.35333333,0.26983333,9.147,52.20666667,273.42
7539.95666667,148.56333333,213.84666667,45.66,0.03853333,0.19383333,3.92116667,0.05553333,0.24033333,2.0911,0.03286667,52.50666667,29.63666667,0.263,0.2081,0.58063333,3.78066667,9.088,1.75533333,0.83393333,0.11706667,0.0777,0.84643333,0.00603333,0.00566667,1.63366667,0.03776667,1.65616667,0.02033333,17.65666667,2.36433333,0.00303333,1.57733333,0.00173333,180.56666667,0.08876667,1.4959,620.23266667,1.01446667,0.00833333,10.8428,0.47683333,5.13106667,3.18996667,10.24466667,1913.09666667,0.27453333,9.48666667,52.45333333,277.92666667
7535.78333333,148.46,213.76333333,45.76333333,0.0385,0.19183333,3.90773333,0.0557,0.24083333,2.07266667,0.03256667,52.10666667,29.71666667,0.26466667,0.2069,0.58213333,3.81933333,9.121,1.75633333,0.833,0.11776667,0.0784,0.84973333,0.006,0.00556667,1.6589,0.03786667,1.64886667,0.02046667,18.44,2.36476667,0.00296667,1.574,0.0017,190.12,0.08926667,1.46716667,617.67543333,1.01386667,0.00816667,11.03666667,0.478,5.24796667,3.18233333,10.175,1909.87333333,0.27276667,9.672,51.76333333,282.17666667
7532.55333333,148.17,213.31666667,45.58666667,0.0387,0.19043333,3.89273333,0.05576667,0.23986667,2.0676,0.0334,52.06666667,29.78666667,0.26766667,0.20646667,0.57806667,3.83833333,9.09666667,1.75066667,0.82923333,0.11816667,0.07943333,0.85603333,0.00603333,0.00553333,1.67333333,0.0382,1.64326667,0.0206,18.93666667,2.3697,0.00293333,1.586,0.0017,192.63,0.0903,1.44906667,617.84866667,1.01463333,0.0078,11.06696667,0.47283333,5.21503333,3.15623333,10.164,1907.13,0.2709,10.154,52.01666667,282.86
