BTCUSD,ETHUSD,BCHUSD,LTCUSD,ADAUSD,BATUSD,ETCUSD,XLMUSD,ZRXUSD,LINKUSD,RVNUSD,DASHUSD,ZECUSD,ALGOUSD,IOTAUSD,WAVESUSD,ATOMUSD,NEOUSD,QTUMUSD,NANOUSD,ICXUSD,ENJUSD,ONTUSD,ZILUSD,VETUSD,XTZUSD,HBARUSD,OMGUSD,MATICUSD,REPUSD,EOSUSD,DOGEUSD,KNCUSD,VTHOUSD,COMPUSD,MANAUSD,HNTUSD,MKRUSD,DAIUSD,ONEUSD,BANDUSD,STORJUSD,UNIUSD,SOLUSD,EGLDUSD,PAXGUSD,OXTUSD,ZENUSD,FILUSD,AAVEUSD,GRTUSD,SUSHIUSD,ANKRUSD,AMPUSD,CRVUSD,AXSUSD,AVAXUSD,CTSIUSD,SHIBUSDT,Date
7135.19,144.22,203.96,44.03,0.0365,0.1855,3.7237,0.0541,0.2338,2.0251,0.0265,49.66,26.64,0.271,0.2004,0.5701,3.445,8.772,1.678,0.8044,0.1201,0.0845,0.9033,0.0069,0.0065,1.627,0.0365,1.7048,0.0202,15.47,2.4,0.0035,1.63,0.0018,202.82,0.0966,1.4913,674.4369,1.0192,0.0105,15.0663,0.5153,4.27,2.9656,10.239,1903.49,0.29,10.45,49.43,238.54,0.511,7.971,0.0985,0.0666,2.454,142.47,136.02,1.0249,8.07e-06,2021-09-19 13:09
7207.17,145.73,206.96,44.82,0.0371,0.1853,3.7738,0.0547,0.2371,2.074,0.0266,50.45,27.21,0.274,0.2007,0.5795,3.578,8.769,1.759,0.8049,0.1202,0.087,0.8676,0.0072,0.0066,1.6325,0.0362,1.738,0.0203,15.64,2.3356,0.0035,1.648,0.0019,197.14,0.0964,1.4764,677.0,1.0145,0.0103,15.5264,0.5223,4.3699,2.9325,10.076,1910.23,0.298,10.686,54.95,239.09,0.505,8.17,0.0985,0.0663,2.369,142.0,134.96,1.0268,8.12e-06,2021-09-19 17:09
7473.67,149.24,214.37,46.17,0.0379,0.1856,3.8226,0.0561,0.2416,2.1126,0.0278,51.23,27.47,0.277,0.2031,0.5813,3.679,8.963,1.759,0.8296,0.1123,0.0794,0.8877,0.0067,0.0063,1.7228,0.0368,1.7352,0.0205,15.95,2.3313,0.0035,1.64,0.0017,200.0,0.095,1.48,661.849,1.0126,0.0102,15.7665,0.51,3.8556,2.8176,10.082,1902.64,0.2924,10.489,53.86,220.35,0.4896,8.229,0.0992,0.0646,2.384,134.72,134.52,0.9985,7.56e-06,2021-09-19 21:09
7488.96,149.87,214.17,45.88,0.0385,0.1865,3.8265,0.0564,0.2364,2.0738,0.0282,51.65,27.56,0.276,0.2031,0.5758,3.692,8.721,1.747,0.8312,0.11,0.077,0.9333,0.0065,0.0062,1.6926,0.0383,1.7298,0.0213,16.29,2.3332,0.0033,1.639,0.0017,204.8,0.0937,1.4738,650.9,1.0122,0.0104,15.3806,0.5004,3.8727,2.7729,10.077,1890.72,0.2889,10.185,54.47,222.23,0.4955,8.339,0.0992,0.0626,2.322,134.52,131.38,1.0281,7.28e-06,2021-09-20 01:09
7201.49,145.25,207.5,44.59,0.037,0.1818,3.7512,0.0546,0.2297,2.0294,0.0263,50.21,26.63,0.261,0.2,0.5566,3.545,8.601,1.708,0.8042,0.11,0.0758,0.9236,0.0065,0.0063,1.6529,0.0383,1.7237,0.0216,15.85,2.3657,0.0031,1.677,0.0017,197.0,0.0928,1.47,656.8961,1.0127,0.0104,14.818,0.47,3.9334,2.9189,10.112,1891.36,0.2859,10.299,54.79,217.95,0.4868,8.491,0.0952,0.0619,2.396,130.33,127.74,1.0192,7.12e-06,2021-09-20 05:09
7215.44,144.95,207.41,44.01,0.0369,0.1807,3.7405,0.0548,0.2254,1.9879,0.0255,50.36,27.09,0.259,0.2007,0.5575,3.515,8.556,1.704,0.8084,0.112,0.0802,0.9304,0.0061,0.0059,1.6786,0.037,1.7239,0.0213,15.45,2.395,0.0032,1.657,0.0018,202.17,0.0879,1.4805,637.201,1.0127,0.0102,14.525,0.4905,4.1189,2.9543,10.106,1912.77,0.2908,10.687,55.1,227.05,0.4947,8.264,0.0942,0.0616,2.285,131.62,130.01,1.0142,7.13e-06,2021-09-20 09:09
7306.64,145.43,209.27,44.3,0.037,0.1808,3.7611,0.0549,0.2328,2.0052,0.0256,50.63,27.6,0.264,0.2009,0.5565,3.589,8.628,1.711,0.8212,0.1106,0.0766,0.9262,0.006,0.0058,1.68,0.0384,1.7116,0.0213,15.37,2.375,0.0031,1.663,0.0017,202.44,0.091,1.5019,626.3245,1.0119,0.0101,14.4005,0.4768,3.9098,2.7898,10.084,1892.72,0.288,10.53,58.86,225.05,0.496,8.25,0.0931,0.0613,2.275,132.02,129.83,1.0059,7.08e-06,2021-09-20 13:09
7371.52,146.52,212.86,44.73,0.0372,0.1826,3.7838,0.0551,0.2357,2.05,0.0256,50.93,28.13,0.262,0.2009,0.5719,3.54,8.66,1.71,0.8255,0.1083,0.0748,0.9359,0.0059,0.0058,1.6678,0.0388,1.7164,0.0214,15.85,2.3601,0.0031,1.643,0.0017,201.66,0.0903,1.48,635.027,1.0134,0.0103,14.3999,0.5098,4.0997,2.8478,10.093,1901.54,0.2896,10.374,55.9,221.22,0.4909,8.167,0.0942,0.0606,2.22,133.3,123.72,0.9972,7.02e-06,2021-09-20 17:09
7350.46,147.09,209.5,44.32,0.0372,0.1833,3.7618,0.0548,0.2279,1.9867,0.025,50.13,28.48,0.261,0.2012,0.5505,3.484,8.593,1.694,0.8153,0.1153,0.0795,0.9357,0.0058,0.0056,1.6954,0.0376,1.7149,0.0218,15.66,2.3579,0.0032,1.654,0.0016,195.71,0.086,1.5078,641.0527,1.0125,0.0104,14.439,0.4919,4.0548,2.9673,10.13,1901.54,0.2903,10.333,57.11,226.39,0.4964,8.077,0.0941,0.0606,2.342,132.24,120.21,1.0318,7.03e-06,2021-09-20 21:09
7384.0,148.11,211.62,44.84,0.0379,0.1854,3.8032,0.056,0.2289,2.0337,0.0262,50.03,30.26,0.262,0.201,0.5589,3.528,8.681,1.712,0.8163,0.1205,0.0787,0.897,0.0059,0.0057,1.6834,0.0377,1.7086,0.0216,16.08,2.3303,0.0031,1.66,0.0017,195.5,0.084,1.5414,649.5229,1.0144,0.0104,14.2815,0.4557,4.6449,3.0359,10.129,1901.54,0.298,9.903,57.38,242.85,0.5206,8.187,0.0935,0.0596,2.348,138.53,119.15,1.0383,7.1e-06,2021-09-21 01:09
